device_id,device_type,ip_address,ip_cluster,phone_hash,browser_fingerprint
DEV_000068,mobile,10.148.150.209,10.148.150.0/24,PHONE_HASH_000068_8981,BROWSER_FP_000068_515989
DEV_000069,mobile,10.18.92.177,10.18.92.0/24,PHONE_HASH_000069_5740,BROWSER_FP_000069_325129
DEV_000070,desktop,10.220.73.153,10.220.73.0/24,PHONE_HASH_000070_7836,BROWSER_FP_000070_704036
DEV_000071,mobile,10.100.15.121,10.100.15.0/24,PHONE_HASH_000071_8796,BROWSER_FP_000071_670687
DEV_000072,mobile,10.129.161.84,10.129.161.0/24,PHONE_HASH_000072_8095,BROWSER_FP_000072_897298
DEV_000073,api,10.20.226.69,10.20.226.0/24,PHONE_HASH_000073_5589,BROWSER_FP_000073_703515
DEV_000074,desktop,10.195.175.242,10.195.175.0/24,PHONE_HASH_000074_4378,BROWSER_FP_000074_824634
DEV_000075,tablet,10.146.34.44,10.146.34.0/24,PHONE_HASH_000075_7993,BROWSER_FP_000075_439427
DEV_000076,mobile,10.8.166.172,10.8.166.0/24,PHONE_HASH_000076_7786,BROWSER_FP_000076_162064
DEV_000077,mobile,10.110.60.172,10.110.60.0/24,PHONE_HASH_000077_7618,BROWSER_FP_000077_667938
DEV_000078,desktop,10.218.169.198,10.218.169.0/24,PHONE_HASH_000078_5699,BROWSER_FP_000078_670652
DEV_000079,mobile,10.71.145.237,10.71.145.0/24,PHONE_HASH_000079_3431,BROWSER_FP_000079_846110
DEV_000080,mobile,10.36.153.15,10.36.153.0/24,PHONE_HASH_000080_4494,BROWSER_FP_000080_773599
DEV_000081,mobile,10.245.228.253,10.245.228.0/24,PHONE_HASH_000081_1150,BROWSER_FP_000081_734435
DEV_000082,desktop,10.53.0.39,10.53.0.0/24,PHONE_HASH_000082_9967,BROWSER_FP_000082_107154
DEV_000083,mobile,10.60.77.169,10.60.77.0/24,PHONE_HASH_000083_5679,BROWSER_FP_000083_354086
DEV_000084,tablet,10.149.113.41,10.149.113.0/24,PHONE_HASH_000084_8380,BROWSER_FP_000084_468311
DEV_000085,mobile,10.228.86.87,10.228.86.0/24,PHONE_HASH_000085_9091,BROWSER_FP_000085_457114
DEV_000086,mobile,10.142.23.199,10.142.23.0/24,PHONE_HASH_000086_3650,BROWSER_FP_000086_772936
DEV_000087,desktop,10.73.122.5,10.73.122.0/24,PHONE_HASH_000087_2763,BROWSER_FP_000087_223720
DEV_000088,desktop,10.69.153.157,10.69.153.0/24,PHONE_HASH_000088_4525,BROWSER_FP_000088_100322
DEV_000089,mobile,10.12.199.185,10.12.199.0/24,PHONE_HASH_000089_2454,BROWSER_FP_000089_810647
DEV_000090,desktop,10.208.63.68,10.208.63.0/24,PHONE_HASH_000090_5347,BROWSER_FP_000090_913571
DEV_000091,mobile,10.145.202.25,10.145.202.0/24,PHONE_HASH_000091_3773,BROWSER_FP_000091_108212
DEV_000092,mobile,10.17.167.139,10.17.167.0/24,PHONE_HASH_000092_2382,BROWSER_FP_000092_615836
DEV_000093,tablet,10.31.43.163,10.31.43.0/24,PHONE_HASH_000093_9399,BROWSER_FP_000093_910542
DEV_000094,desktop,10.83.105.219,10.83.105.0/24,PHONE_HASH_000094_3009,BROWSER_FP_000094_254314
DEV_000095,mobile,10.122.75.126,10.122.75.0/24,PHONE_HASH_000095_5460,BROWSER_FP_000095_578086
DEV_000096,mobile,10.102.105.48,10.102.105.0/24,PHONE_HASH_000096_2978,BROWSER_FP_000096_660209
DEV_000097,mobile,10.142.185.136,10.142.185.0/24,PHONE_HASH_000097_1762,BROWSER_FP_000097_644343
DEV_000098,mobile,10.182.72.114,10.182.72.0/24,PHONE_HASH_000098_1119,BROWSER_FP_000098_415108
DEV_000099,desktop,10.167.202.53,10.167.202.0/24,PHONE_HASH_000099_8426,BROWSER_FP_000099_378771
DEV_000100,mobile,10.133.8.191,10.133.8.0/24,PHONE_HASH_000100_5494,BROWSER_FP_000100_789159
DEV_000101,desktop,10.56.166.187,10.56.166.0/24,PHONE_HASH_000101_7886,BROWSER_FP_000101_271286
DEV_000102,desktop,10.241.60.55,10.241.60.0/24,PHONE_HASH_000102_2033,BROWSER_FP_000102_332951
DEV_000103,mobile,10.59.221.80,10.59.221.0/24,PHONE_HASH_000103_8697,BROWSER_FP_000103_822866
DEV_000104,mobile,10.73.196.160,10.73.196.0/24,PHONE_HASH_000104_7343,BROWSER_FP_000104_734790
DEV_000105,mobile,10.197.3.152,10.197.3.0/24,PHONE_HASH_000105_6115,BROWSER_FP_000105_970693
DEV_000106,mobile,10.56.180.172,10.56.180.0/24,PHONE_HASH_000106_9503,BROWSER_FP_000106_778804
DEV_000107,tablet,10.198.149.203,10.198.149.0/24,PHONE_HASH_000107_2409,BROWSER_FP_000107_616090
DEV_000108,mobile,10.248.231.8,10.248.231.0/24,PHONE_HASH_000108_7050,BROWSER_FP_000108_693339
DEV_000109,mobile,10.121.45.77,10.121.45.0/24,PHONE_HASH_000109_5418,BROWSER_FP_000109_342985
DEV_000110,mobile,10.161.152.222,10.161.152.0/24,PHONE_HASH_000110_5193,BROWSER_FP_000110_630568
DEV_000111,desktop,10.144.135.51,10.144.135.0/24,PHONE_HASH_000111_1254,BROWSER_FP_000111_401265
DEV_000112,mobile,10.244.206.108,10.244.206.0/24,PHONE_HASH_000112_4109,BROWSER_FP_000112_832023
DEV_000113,desktop,10.16.249.81,10.16.249.0/24,PHONE_HASH_000113_9091,BROWSER_FP_000113_111003
DEV_000114,mobile,10.49.156.153,10.49.156.0/24,PHONE_HASH_000114_7078,BROWSER_FP_000114_423459
DEV_000115,tablet,10.76.186.219,10.76.186.0/24,PHONE_HASH_000115_7903,BROWSER_FP_000115_584207
DEV_000116,mobile,10.107.200.105,10.107.200.0/24,PHONE_HASH_000116_5079,BROWSER_FP_000116_396011
DEV_000117,mobile,10.184.248.233,10.184.248.0/24,PHONE_HASH_000117_8677,BROWSER_FP_000117_410741
DEV_000118,mobile,10.12.189.222,10.12.189.0/24,PHONE_HASH_000118_8942,BROWSER_FP_000118_778623
DEV_000119,mobile,10.72.209.206,10.72.209.0/24,PHONE_HASH_000119_5131,BROWSER_FP_000119_863451
DEV_000120,mobile,10.200.193.233,10.200.193.0/24,PHONE_HASH_000120_2827,BROWSER_FP_000120_493133
DEV_000121,mobile,10.199.88.163,10.199.88.0/24,PHONE_HASH_000121_5193,BROWSER_FP_000121_952607
DEV_000122,mobile,10.176.248.85,10.176.248.0/24,PHONE_HASH_000122_3598,BROWSER_FP_000122_864357
DEV_000123,mobile,10.174.195.166,10.174.195.0/24,PHONE_HASH_000123_9030,BROWSER_FP_000123_360161
DEV_000124,desktop,10.72.247.119,10.72.247.0/24,PHONE_HASH_000124_7232,BROWSER_FP_000124_808810
DEV_000125,mobile,10.217.114.214,10.217.114.0/24,PHONE_HASH_000125_6382,BROWSER_FP_000125_851389
DEV_000126,desktop,10.154.170.250,10.154.170.0/24,PHONE_HASH_000126_2290,BROWSER_FP_000126_140023
DEV_000127,mobile,10.46.36.254,10.46.36.0/24,PHONE_HASH_000127_7165,BROWSER_FP_000127_181363
DEV_000128,mobile,10.210.175.172,10.210.175.0/24,PHONE_HASH_000128_6727,BROWSER_FP_000128_532391
DEV_000129,desktop,10.163.45.230,10.163.45.0/24,PHONE_HASH_000129_1073,BROWSER_FP_000129_887354
DEV_000130,mobile,10.96.164.128,10.96.164.0/24,PHONE_HASH_000130_6698,BROWSER_FP_000130_562292
DEV_000131,desktop,10.208.61.183,10.208.61.0/24,PHONE_HASH_000131_1801,BROWSER_FP_000131_545110
DEV_000132,desktop,10.147.130.5,10.147.130.0/24,PHONE_HASH_000132_2413,BROWSER_FP_000132_562615
DEV_000133,desktop,10.114.137.133,10.114.137.0/24,PHONE_HASH_000133_6384,BROWSER_FP_000133_769208
DEV_000134,desktop,10.28.179.158,10.28.179.0/24,PHONE_HASH_000134_9251,BROWSER_FP_000134_895562
DEV_000135,mobile,10.191.128.179,10.191.128.0/24,PHONE_HASH_000135_7335,BROWSER_FP_000135_588276
DEV_000136,mobile,10.71.165.131,10.71.165.0/24,PHONE_HASH_000136_8154,BROWSER_FP_000136_460066
DEV_000137,mobile,10.245.87.201,10.245.87.0/24,PHONE_HASH_000137_8251,BROWSER_FP_000137_398453
DEV_000138,mobile,10.64.5.77,10.64.5.0/24,PHONE_HASH_000138_1755,BROWSER_FP_000138_901117
DEV_000139,mobile,10.166.32.232,10.166.32.0/24,PHONE_HASH_000139_2922,BROWSER_FP_000139_485747
DEV_000140,desktop,10.254.181.111,10.254.181.0/24,PHONE_HASH_000140_9452,BROWSER_FP_000140_974627
DEV_000141,mobile,10.43.158.155,10.43.158.0/24,PHONE_HASH_000141_2151,BROWSER_FP_000141_673102
DEV_000142,mobile,10.60.93.7,10.60.93.0/24,PHONE_HASH_000142_7899,BROWSER_FP_000142_234951
DEV_000143,mobile,10.98.71.175,10.98.71.0/24,PHONE_HASH_000143_5950,BROWSER_FP_000143_923574
DEV_000144,mobile,10.200.149.27,10.200.149.0/24,PHONE_HASH_000144_5372,BROWSER_FP_000144_982953
DEV_000145,api,10.247.49.145,10.247.49.0/24,PHONE_HASH_000145_7326,BROWSER_FP_000145_964958
DEV_000146,desktop,10.112.251.205,10.112.251.0/24,PHONE_HASH_000146_8856,BROWSER_FP_000146_571500
DEV_000147,mobile,10.183.43.212,10.183.43.0/24,PHONE_HASH_000147_2199,BROWSER_FP_000147_553334
DEV_000148,mobile,10.108.132.171,10.108.132.0/24,PHONE_HASH_000148_5514,BROWSER_FP_000148_853221
DEV_000149,desktop,10.87.132.34,10.87.132.0/24,PHONE_HASH_000149_1946,BROWSER_FP_000149_767923
DEV_000150,mobile,10.209.95.157,10.209.95.0/24,PHONE_HASH_000150_2650,BROWSER_FP_000150_499911
DEV_000151,api,10.190.38.161,10.190.38.0/24,PHONE_HASH_000151_5857,BROWSER_FP_000151_484277
DEV_000152,desktop,10.191.0.26,10.191.0.0/24,PHONE_HASH_000152_8218,BROWSER_FP_000152_889659
DEV_000153,mobile,10.185.198.87,10.185.198.0/24,PHONE_HASH_000153_2722,BROWSER_FP_000153_708293
DEV_000154,mobile,10.52.123.17,10.52.123.0/24,PHONE_HASH_000154_4635,BROWSER_FP_000154_748155
DEV_000155,desktop,10.52.155.188,10.52.155.0/24,PHONE_HASH_000155_2295,BROWSER_FP_000155_448505
DEV_000156,mobile,10.50.92.97,10.50.92.0/24,PHONE_HASH_000156_1435,BROWSER_FP_000156_158005
DEV_000157,desktop,10.60.58.9,10.60.58.0/24,PHONE_HASH_000157_2602,BROWSER_FP_000157_749973
DEV_000158,desktop,10.26.8.48,10.26.8.0/24,PHONE_HASH_000158_4199,BROWSER_FP_000158_197328
DEV_000159,desktop,10.31.10.244,10.31.10.0/24,PHONE_HASH_000159_6767,BROWSER_FP_000159_268869
DEV_000160,mobile,10.114.217.159,10.114.217.0/24,PHONE_HASH_000160_5409,BROWSER_FP_000160_517148
DEV_000161,mobile,10.240.74.90,10.240.74.0/24,PHONE_HASH_000161_9287,BROWSER_FP_000161_644407
DEV_000162,mobile,10.186.116.57,10.186.116.0/24,PHONE_HASH_000162_3337,BROWSER_FP_000162_655826
DEV_000163,mobile,10.226.163.254,10.226.163.0/24,PHONE_HASH_000163_5619,BROWSER_FP_000163_411076
DEV_000164,mobile,10.218.164.154,10.218.164.0/24,PHONE_HASH_000164_3942,BROWSER_FP_000164_568508
DEV_000165,api,10.216.70.32,10.216.70.0/24,PHONE_HASH_000165_1000,BROWSER_FP_000165_228861
DEV_000166,mobile,10.159.101.205,10.159.101.0/24,PHONE_HASH_000166_8461,BROWSER_FP_000166_492437
DEV_000167,desktop,10.128.70.125,10.128.70.0/24,PHONE_HASH_000167_9001,BROWSER_FP_000167_664932
DEV_000168,api,10.136.223.231,10.136.223.0/24,PHONE_HASH_000168_8751,BROWSER_FP_000168_316404
DEV_000169,mobile,10.207.138.57,10.207.138.0/24,PHONE_HASH_000169_1666,BROWSER_FP_000169_500826
DEV_000170,mobile,10.8.137.111,10.8.137.0/24,PHONE_HASH_000170_5730,BROWSER_FP_000170_160243
DEV_000171,desktop,10.166.116.84,10.166.116.0/24,PHONE_HASH_000171_9315,BROWSER_FP_000171_648398
DEV_000172,desktop,10.249.44.54,10.249.44.0/24,PHONE_HASH_000172_6015,BROWSER_FP_000172_549617
DEV_000173,mobile,10.159.232.46,10.159.232.0/24,PHONE_HASH_000173_3784,BROWSER_FP_000173_125547
DEV_000174,mobile,10.184.115.179,10.184.115.0/24,PHONE_HASH_000174_2215,BROWSER_FP_000174_964258
DEV_000175,mobile,10.8.101.69,10.8.101.0/24,PHONE_HASH_000175_4348,BROWSER_FP_000175_375399
DEV_000176,mobile,10.157.95.4,10.157.95.0/24,PHONE_HASH_000176_5437,BROWSER_FP_000176_432429
DEV_000177,mobile,10.54.103.60,10.54.103.0/24,PHONE_HASH_000177_9945,BROWSER_FP_000177_982514
DEV_000178,mobile,10.41.71.28,10.41.71.0/24,PHONE_HASH_000178_6590,BROWSER_FP_000178_956272
DEV_000179,desktop,10.184.253.107,10.184.253.0/24,PHONE_HASH_000179_3748,BROWSER_FP_000179_184170
DEV_000180,desktop,10.12.218.178,10.12.218.0/24,PHONE_HASH_000180_5272,BROWSER_FP_000180_968803
DEV_000181,mobile,10.9.222.184,10.9.222.0/24,PHONE_HASH_000181_7657,BROWSER_FP_000181_495131
DEV_000182,mobile,10.103.170.70,10.103.170.0/24,PHONE_HASH_000182_4112,BROWSER_FP_000182_875154
DEV_000183,mobile,10.99.151.66,10.99.151.0/24,PHONE_HASH_000183_5588,BROWSER_FP_000183_491291
DEV_000184,mobile,10.125.151.74,10.125.151.0/24,PHONE_HASH_000184_4281,BROWSER_FP_000184_987563
DEV_000185,mobile,10.169.242.134,10.169.242.0/24,PHONE_HASH_000185_2969,BROWSER_FP_000185_879603
DEV_000186,mobile,10.247.236.25,10.247.236.0/24,PHONE_HASH_000186_4807,BROWSER_FP_000186_239775
DEV_000187,desktop,10.137.252.31,10.137.252.0/24,PHONE_HASH_000187_2402,BROWSER_FP_000187_943381
DEV_000188,desktop,10.254.26.102,10.254.26.0/24,PHONE_HASH_000188_8588,BROWSER_FP_000188_512383
DEV_000189,tablet,10.132.185.203,10.132.185.0/24,PHONE_HASH_000189_9650,BROWSER_FP_000189_610621
DEV_000190,desktop,10.200.154.77,10.200.154.0/24,PHONE_HASH_000190_9077,BROWSER_FP_000190_545907
DEV_000191,mobile,10.110.137.31,10.110.137.0/24,PHONE_HASH_000191_2598,BROWSER_FP_000191_503836
DEV_000192,mobile,10.181.1.233,10.181.1.0/24,PHONE_HASH_000192_4147,BROWSER_FP_000192_307438
DEV_000193,desktop,10.24.8.172,10.24.8.0/24,PHONE_HASH_000193_2933,BROWSER_FP_000193_873802
DEV_000194,desktop,10.49.231.74,10.49.231.0/24,PHONE_HASH_000194_1520,BROWSER_FP_000194_937102
DEV_000195,tablet,10.35.115.200,10.35.115.0/24,PHONE_HASH_000195_4031,BROWSER_FP_000195_647936
DEV_000196,desktop,10.97.208.181,10.97.208.0/24,PHONE_HASH_000196_4360,BROWSER_FP_000196_806845
DEV_000197,api,10.128.196.9,10.128.196.0/24,PHONE_HASH_000197_4244,BROWSER_FP_000197_657666
DEV_000198,mobile,10.87.33.211,10.87.33.0/24,PHONE_HASH_000198_2889,BROWSER_FP_000198_261661
DEV_000199,mobile,10.201.88.197,10.201.88.0/24,PHONE_HASH_000199_9593,BROWSER_FP_000199_650346
DEV_000200,mobile,10.150.241.57,10.150.241.0/24,PHONE_HASH_000200_1276,BROWSER_FP_000200_460981
DEV_000201,mobile,10.107.10.12,10.107.10.0/24,PHONE_HASH_000201_8907,BROWSER_FP_000201_323356
DEV_000202,mobile,10.7.191.177,10.7.191.0/24,PHONE_HASH_000202_7519,BROWSER_FP_000202_543761
DEV_000203,mobile,10.55.171.129,10.55.171.0/24,PHONE_HASH_000203_6648,BROWSER_FP_000203_565603
DEV_000204,mobile,10.87.130.53,10.87.130.0/24,PHONE_HASH_000204_2204,BROWSER_FP_000204_996643
DEV_000205,desktop,10.61.16.129,10.61.16.0/24,PHONE_HASH_000205_7111,BROWSER_FP_000205_758829
DEV_000206,mobile,10.75.159.10,10.75.159.0/24,PHONE_HASH_000206_3157,BROWSER_FP_000206_326324
DEV_000207,api,10.232.71.174,10.232.71.0/24,PHONE_HASH_000207_3091,BROWSER_FP_000207_765836
DEV_000208,mobile,10.178.181.110,10.178.181.0/24,PHONE_HASH_000208_2152,BROWSER_FP_000208_388422
DEV_000209,mobile,10.105.206.95,10.105.206.0/24,PHONE_HASH_000209_4926,BROWSER_FP_000209_224951
DEV_000210,mobile,10.75.106.238,10.75.106.0/24,PHONE_HASH_000210_2853,BROWSER_FP_000210_773885
DEV_000211,mobile,10.193.231.27,10.193.231.0/24,PHONE_HASH_000211_6386,BROWSER_FP_000211_394448
DEV_000212,tablet,10.96.218.229,10.96.218.0/24,PHONE_HASH_000212_4509,BROWSER_FP_000212_502429
DEV_000213,mobile,10.219.220.15,10.219.220.0/24,PHONE_HASH_000213_1764,BROWSER_FP_000213_879519
DEV_000214,mobile,10.73.46.119,10.73.46.0/24,PHONE_HASH_000214_9236,BROWSER_FP_000214_539190
DEV_000215,mobile,10.243.129.160,10.243.129.0/24,PHONE_HASH_000215_4282,BROWSER_FP_000215_414322
DEV_000216,mobile,10.19.192.28,10.19.192.0/24,PHONE_HASH_000216_6077,BROWSER_FP_000216_631164
DEV_000217,mobile,10.148.171.128,10.148.171.0/24,PHONE_HASH_000217_6328,BROWSER_FP_000217_372680
DEV_000218,mobile,10.125.220.39,10.125.220.0/24,PHONE_HASH_000218_1288,BROWSER_FP_000218_698697
DEV_000219,mobile,10.163.156.237,10.163.156.0/24,PHONE_HASH_000219_4680,BROWSER_FP_000219_537472
DEV_000220,tablet,10.95.254.189,10.95.254.0/24,PHONE_HASH_000220_9736,BROWSER_FP_000220_562540
DEV_000221,tablet,10.248.49.151,10.248.49.0/24,PHONE_HASH_000221_7338,BROWSER_FP_000221_413858
DEV_000222,mobile,10.42.223.186,10.42.223.0/24,PHONE_HASH_000222_4112,BROWSER_FP_000222_564468
DEV_000223,mobile,10.73.207.48,10.73.207.0/24,PHONE_HASH_000223_7179,BROWSER_FP_000223_480901
DEV_000224,api,10.30.203.133,10.30.203.0/24,PHONE_HASH_000224_9282,BROWSER_FP_000224_341981
DEV_000225,mobile,10.30.155.194,10.30.155.0/24,PHONE_HASH_000225_4750,BROWSER_FP_000225_165304
DEV_000226,mobile,10.113.194.92,10.113.194.0/24,PHONE_HASH_000226_4260,BROWSER_FP_000226_962810
DEV_000227,desktop,10.40.11.148,10.40.11.0/24,PHONE_HASH_000227_7662,BROWSER_FP_000227_665902
DEV_000228,mobile,10.1.24.148,10.1.24.0/24,PHONE_HASH_000228_6480,BROWSER_FP_000228_325850
DEV_000229,mobile,10.185.104.185,10.185.104.0/24,PHONE_HASH_000229_9368,BROWSER_FP_000229_653425
DEV_000230,mobile,10.59.180.165,10.59.180.0/24,PHONE_HASH_000230_4348,BROWSER_FP_000230_328627
DEV_000231,desktop,10.149.160.16,10.149.160.0/24,PHONE_HASH_000231_3123,BROWSER_FP_000231_203041
DEV_000232,mobile,10.233.141.139,10.233.141.0/24,PHONE_HASH_000232_4044,BROWSER_FP_000232_330720
DEV_000233,desktop,10.250.171.115,10.250.171.0/24,PHONE_HASH_000233_9696,BROWSER_FP_000233_527682
DEV_000234,mobile,10.67.192.8,10.67.192.0/24,PHONE_HASH_000234_3816,BROWSER_FP_000234_237197
DEV_000235,desktop,10.90.239.212,10.90.239.0/24,PHONE_HASH_000235_4075,BROWSER_FP_000235_286612
DEV_000236,mobile,10.195.47.103,10.195.47.0/24,PHONE_HASH_000236_8821,BROWSER_FP_000236_189178
