counterparty_id,counterparty_type,counterparty_name,country_code,institution_name,external_account_ref,risk_score
CP_000060,merchant,Synthetic Counterparty 000060,SG,Synthetic Institution 010,EXT-00000060,44.45
CP_000061,merchant,Synthetic Counterparty 000061,ZA,Synthetic Institution 011,EXT-00000061,57.18
CP_000062,bank,Synthetic Counterparty 000062,HK,Synthetic Institution 012,EXT-00000062,35.58
CP_000063,merchant,Synthetic Counterparty 000063,PA,Synthetic Institution 013,EXT-00000063,73.52
CP_000064,bank,Synthetic Counterparty 000064,AE,Synthetic Institution 014,EXT-00000064,40.58
CP_000065,beneficiary,Synthetic Counterparty 000065,VG,Synthetic Institution 015,EXT-00000065,74.77
CP_000066,merchant,Synthetic Counterparty 000066,DE,Synthetic Institution 016,EXT-00000066,29.14
CP_000067,bank,Synthetic Counterparty 000067,BR,Synthetic Institution 017,EXT-00000067,39.54
CP_000068,beneficiary,Synthetic Counterparty 000068,HK,Synthetic Institution 018,EXT-00000068,44.41
CP_000069,merchant,Synthetic Counterparty 000069,CA,Synthetic Institution 019,EXT-00000069,9.91
CP_000070,beneficiary,Synthetic Counterparty 000070,HK,Synthetic Institution 020,EXT-00000070,36.95
CP_000071,merchant,Synthetic Counterparty 000071,BR,Synthetic Institution 021,EXT-00000071,55.04
CP_000072,merchant,Synthetic Counterparty 000072,SG,Synthetic Institution 022,EXT-00000072,52.82
CP_000073,merchant,Synthetic Counterparty 000073,AE,Synthetic Institution 023,EXT-00000073,32.64
CP_000074,merchant,Synthetic Counterparty 000074,DE,Synthetic Institution 024,EXT-00000074,0.0
CP_000075,merchant,Synthetic Counterparty 000075,HK,Synthetic Institution 025,EXT-00000075,48.9
CP_000076,beneficiary,Synthetic Counterparty 000076,AE,Synthetic Institution 001,EXT-00000076,45.94
CP_000077,merchant,Synthetic Counterparty 000077,SG,Synthetic Institution 002,EXT-00000077,32.61
CP_000078,bank,Synthetic Counterparty 000078,AE,Synthetic Institution 003,EXT-00000078,56.5
CP_000079,merchant,Synthetic Counterparty 000079,GB,Synthetic Institution 004,EXT-00000079,29.12
CP_000080,beneficiary,Synthetic Counterparty 000080,ZA,Synthetic Institution 005,EXT-00000080,60.62
CP_000081,exchange,Synthetic Counterparty 000081,ZA,Synthetic Institution 006,EXT-00000081,0.0
CP_000082,bank,Synthetic Counterparty 000082,PA,Synthetic Institution 007,EXT-00000082,84.38
CP_000083,merchant,Synthetic Counterparty 000083,VG,Synthetic Institution 008,EXT-00000083,90.2
CP_000084,merchant,Synthetic Counterparty 000084,CA,Synthetic Institution 009,EXT-00000084,54.68
CP_000085,bank,Synthetic Counterparty 000085,AU,Synthetic Institution 010,EXT-00000085,0.0
CP_000086,exchange,Synthetic Counterparty 000086,AU,Synthetic Institution 011,EXT-00000086,29.23
CP_000087,beneficiary,Synthetic Counterparty 000087,DE,Synthetic Institution 012,EXT-00000087,23.38
CP_000088,bank,Synthetic Counterparty 000088,BR,Synthetic Institution 013,EXT-00000088,70.34
CP_000089,merchant,Synthetic Counterparty 000089,BR,Synthetic Institution 014,EXT-00000089,38.7
CP_000090,beneficiary,Synthetic Counterparty 000090,SG,Synthetic Institution 015,EXT-00000090,14.03
CP_000091,beneficiary,Synthetic Counterparty 000091,BR,Synthetic Institution 016,EXT-00000091,27.14
CP_000092,merchant,Synthetic Counterparty 000092,BR,Synthetic Institution 017,EXT-00000092,35.3
CP_000093,merchant,Synthetic Counterparty 000093,CA,Synthetic Institution 018,EXT-00000093,0.0
CP_000094,beneficiary,Synthetic Counterparty 000094,GB,Synthetic Institution 019,EXT-00000094,60.9
CP_000095,merchant,Synthetic Counterparty 000095,AE,Synthetic Institution 020,EXT-00000095,33.48
CP_000096,merchant,Synthetic Counterparty 000096,PA,Synthetic Institution 021,EXT-00000096,69.71
CP_000097,merchant,Synthetic Counterparty 000097,VG,Synthetic Institution 022,EXT-00000097,56.26
CP_000098,bank,Synthetic Counterparty 000098,AU,Synthetic Institution 023,EXT-00000098,27.16
CP_000099,beneficiary,Synthetic Counterparty 000099,SG,Synthetic Institution 024,EXT-00000099,66.38
CP_000100,wallet,Synthetic Counterparty 000100,US,Synthetic Institution 025,EXT-00000100,15.27
CP_000101,bank,Synthetic Counterparty 000101,AU,Synthetic Institution 001,EXT-00000101,27.92
CP_000102,merchant,Synthetic Counterparty 000102,DE,Synthetic Institution 002,EXT-00000102,32.53
CP_000103,wallet,Synthetic Counterparty 000103,SG,Synthetic Institution 003,EXT-00000103,40.28
CP_000104,beneficiary,Synthetic Counterparty 000104,HK,Synthetic Institution 004,EXT-00000104,34.62
CP_000105,merchant,Synthetic Counterparty 000105,CA,Synthetic Institution 005,EXT-00000105,36.18
CP_000106,merchant,Synthetic Counterparty 000106,US,Synthetic Institution 006,EXT-00000106,42.6
CP_000107,beneficiary,Synthetic Counterparty 000107,SG,Synthetic Institution 007,EXT-00000107,44.12
CP_000108,beneficiary,Synthetic Counterparty 000108,SG,Synthetic Institution 008,EXT-00000108,57.2
CP_000109,wallet,Synthetic Counterparty 000109,DE,Synthetic Institution 009,EXT-00000109,40.1
CP_000110,merchant,Synthetic Counterparty 000110,AU,Synthetic Institution 010,EXT-00000110,0.0
CP_000111,merchant,Synthetic Counterparty 000111,CA,Synthetic Institution 011,EXT-00000111,33.29
CP_000112,exchange,Synthetic Counterparty 000112,AE,Synthetic Institution 012,EXT-00000112,26.23
CP_000113,beneficiary,Synthetic Counterparty 000113,AU,Synthetic Institution 013,EXT-00000113,14.15
CP_000114,merchant,Synthetic Counterparty 000114,SG,Synthetic Institution 014,EXT-00000114,38.39
CP_000115,merchant,Synthetic Counterparty 000115,VG,Synthetic Institution 015,EXT-00000115,66.39
CP_000116,merchant,Synthetic Counterparty 000116,CA,Synthetic Institution 016,EXT-00000116,39.64
CP_000117,beneficiary,Synthetic Counterparty 000117,PA,Synthetic Institution 017,EXT-00000117,72.02
CP_000118,merchant,Synthetic Counterparty 000118,DE,Synthetic Institution 018,EXT-00000118,5.49
CP_000119,exchange,Synthetic Counterparty 000119,HK,Synthetic Institution 019,EXT-00000119,37.36
CP_000120,beneficiary,Synthetic Counterparty 000120,CA,Synthetic Institution 020,EXT-00000120,46.07
CP_000121,merchant,Synthetic Counterparty 000121,HK,Synthetic Institution 021,EXT-00000121,37.13
CP_000122,beneficiary,Synthetic Counterparty 000122,VG,Synthetic Institution 022,EXT-00000122,58.72
CP_000123,beneficiary,Synthetic Counterparty 000123,PA,Synthetic Institution 023,EXT-00000123,56.53
CP_000124,beneficiary,Synthetic Counterparty 000124,ZA,Synthetic Institution 024,EXT-00000124,41.58
CP_000125,merchant,Synthetic Counterparty 000125,PA,Synthetic Institution 025,EXT-00000125,84.02
CP_000126,wallet,Synthetic Counterparty 000126,AE,Synthetic Institution 001,EXT-00000126,18.77
CP_000127,merchant,Synthetic Counterparty 000127,US,Synthetic Institution 002,EXT-00000127,12.75
CP_000128,merchant,Synthetic Counterparty 000128,GB,Synthetic Institution 003,EXT-00000128,55.17
CP_000129,beneficiary,Synthetic Counterparty 000129,BR,Synthetic Institution 004,EXT-00000129,24.43
CP_000130,merchant,Synthetic Counterparty 000130,AU,Synthetic Institution 005,EXT-00000130,0.0
CP_000131,bank,Synthetic Counterparty 000131,SG,Synthetic Institution 006,EXT-00000131,41.69
CP_000132,merchant,Synthetic Counterparty 000132,DE,Synthetic Institution 007,EXT-00000132,36.88
CP_000133,bank,Synthetic Counterparty 000133,BR,Synthetic Institution 008,EXT-00000133,48.02
CP_000134,beneficiary,Synthetic Counterparty 000134,GB,Synthetic Institution 009,EXT-00000134,39.79
CP_000135,bank,Synthetic Counterparty 000135,CA,Synthetic Institution 010,EXT-00000135,72.98
CP_000136,merchant,Synthetic Counterparty 000136,AU,Synthetic Institution 011,EXT-00000136,23.17
CP_000137,beneficiary,Synthetic Counterparty 000137,VG,Synthetic Institution 012,EXT-00000137,49.52
CP_000138,bank,Synthetic Counterparty 000138,ZA,Synthetic Institution 013,EXT-00000138,60.02
CP_000139,bank,Synthetic Counterparty 000139,SG,Synthetic Institution 014,EXT-00000139,27.83
CP_000140,merchant,Synthetic Counterparty 000140,HK,Synthetic Institution 015,EXT-00000140,35.3
CP_000141,bank,Synthetic Counterparty 000141,AU,Synthetic Institution 016,EXT-00000141,25.07
CP_000142,exchange,Synthetic Counterparty 000142,AU,Synthetic Institution 017,EXT-00000142,0.0
CP_000143,merchant,Synthetic Counterparty 000143,AE,Synthetic Institution 018,EXT-00000143,51.17
CP_000144,exchange,Synthetic Counterparty 000144,PA,Synthetic Institution 019,EXT-00000144,42.49
CP_000145,beneficiary,Synthetic Counterparty 000145,ZA,Synthetic Institution 020,EXT-00000145,31.95
CP_000146,merchant,Synthetic Counterparty 000146,DE,Synthetic Institution 021,EXT-00000146,32.5
CP_000147,merchant,Synthetic Counterparty 000147,PA,Synthetic Institution 022,EXT-00000147,100.0
CP_000148,bank,Synthetic Counterparty 000148,US,Synthetic Institution 023,EXT-00000148,21.88
CP_000149,beneficiary,Synthetic Counterparty 000149,CA,Synthetic Institution 024,EXT-00000149,53.68
CP_000150,merchant,Synthetic Counterparty 000150,VG,Synthetic Institution 025,EXT-00000150,54.19
CP_000151,beneficiary,Synthetic Counterparty 000151,AE,Synthetic Institution 001,EXT-00000151,57.27
CP_000152,wallet,Synthetic Counterparty 000152,PA,Synthetic Institution 002,EXT-00000152,62.04
CP_000153,beneficiary,Synthetic Counterparty 000153,HK,Synthetic Institution 003,EXT-00000153,50.04
CP_000154,bank,Synthetic Counterparty 000154,HK,Synthetic Institution 004,EXT-00000154,46.42
CP_000155,bank,Synthetic Counterparty 000155,GB,Synthetic Institution 005,EXT-00000155,10.9
CP_000156,bank,Synthetic Counterparty 000156,GB,Synthetic Institution 006,EXT-00000156,30.81
CP_000157,merchant,Synthetic Counterparty 000157,PA,Synthetic Institution 007,EXT-00000157,51.69
CP_000158,beneficiary,Synthetic Counterparty 000158,BR,Synthetic Institution 008,EXT-00000158,19.61
CP_000159,bank,Synthetic Counterparty 000159,ZA,Synthetic Institution 009,EXT-00000159,17.23
CP_000160,beneficiary,Synthetic Counterparty 000160,VG,Synthetic Institution 010,EXT-00000160,63.98
CP_000161,exchange,Synthetic Counterparty 000161,PA,Synthetic Institution 011,EXT-00000161,89.67
CP_000162,beneficiary,Synthetic Counterparty 000162,AU,Synthetic Institution 012,EXT-00000162,13.19
CP_000163,merchant,Synthetic Counterparty 000163,US,Synthetic Institution 013,EXT-00000163,32.65
CP_000164,bank,Synthetic Counterparty 000164,GB,Synthetic Institution 014,EXT-00000164,57.19
CP_000165,merchant,Synthetic Counterparty 000165,US,Synthetic Institution 015,EXT-00000165,7.86
CP_000166,exchange,Synthetic Counterparty 000166,PA,Synthetic Institution 016,EXT-00000166,57.41
CP_000167,merchant,Synthetic Counterparty 000167,GB,Synthetic Institution 017,EXT-00000167,0.0
CP_000168,merchant,Synthetic Counterparty 000168,VG,Synthetic Institution 018,EXT-00000168,53.49
CP_000169,bank,Synthetic Counterparty 000169,VG,Synthetic Institution 019,EXT-00000169,31.09
CP_000170,bank,Synthetic Counterparty 000170,HK,Synthetic Institution 020,EXT-00000170,49.09
CP_000171,merchant,Synthetic Counterparty 000171,SG,Synthetic Institution 021,EXT-00000171,37.46
CP_000172,wallet,Synthetic Counterparty 000172,ZA,Synthetic Institution 022,EXT-00000172,19.34
CP_000173,merchant,Synthetic Counterparty 000173,BR,Synthetic Institution 023,EXT-00000173,41.21
CP_000174,bank,Synthetic Counterparty 000174,VG,Synthetic Institution 024,EXT-00000174,51.83
CP_000175,beneficiary,Synthetic Counterparty 000175,AU,Synthetic Institution 025,EXT-00000175,43.48
CP_000176,beneficiary,Synthetic Counterparty 000176,GB,Synthetic Institution 001,EXT-00000176,5.94
CP_000177,beneficiary,Synthetic Counterparty 000177,PA,Synthetic Institution 002,EXT-00000177,53.51
CP_000178,merchant,Synthetic Counterparty 000178,CA,Synthetic Institution 003,EXT-00000178,0.0
CP_000179,wallet,Synthetic Counterparty 000179,AE,Synthetic Institution 004,EXT-00000179,55.12
CP_000180,merchant,Synthetic Counterparty 000180,DE,Synthetic Institution 005,EXT-00000180,16.52
CP_000181,merchant,Synthetic Counterparty 000181,US,Synthetic Institution 006,EXT-00000181,16.41
CP_000182,bank,Synthetic Counterparty 000182,AU,Synthetic Institution 007,EXT-00000182,16.37
CP_000183,merchant,Synthetic Counterparty 000183,AU,Synthetic Institution 008,EXT-00000183,43.68
CP_000184,wallet,Synthetic Counterparty 000184,AE,Synthetic Institution 009,EXT-00000184,12.84
CP_000185,bank,Synthetic Counterparty 000185,DE,Synthetic Institution 010,EXT-00000185,22.27
CP_000186,merchant,Synthetic Counterparty 000186,SG,Synthetic Institution 011,EXT-00000186,35.99
CP_000187,beneficiary,Synthetic Counterparty 000187,ZA,Synthetic Institution 012,EXT-00000187,35.9
CP_000188,wallet,Synthetic Counterparty 000188,DE,Synthetic Institution 013,EXT-00000188,4.88
CP_000189,merchant,Synthetic Counterparty 000189,CA,Synthetic Institution 014,EXT-00000189,29.11
CP_000190,beneficiary,Synthetic Counterparty 000190,DE,Synthetic Institution 015,EXT-00000190,2.15
CP_000191,bank,Synthetic Counterparty 000191,SG,Synthetic Institution 016,EXT-00000191,27.07
CP_000192,merchant,Synthetic Counterparty 000192,HK,Synthetic Institution 017,EXT-00000192,28.25
CP_000193,beneficiary,Synthetic Counterparty 000193,DE,Synthetic Institution 018,EXT-00000193,18.15
CP_000194,beneficiary,Synthetic Counterparty 000194,HK,Synthetic Institution 019,EXT-00000194,67.05
CP_000195,bank,Synthetic Counterparty 000195,HK,Synthetic Institution 020,EXT-00000195,57.09
CP_000196,wallet,Synthetic Counterparty 000196,VG,Synthetic Institution 021,EXT-00000196,64.17
CP_000197,merchant,Synthetic Counterparty 000197,PA,Synthetic Institution 022,EXT-00000197,70.53
CP_000198,merchant,Synthetic Counterparty 000198,HK,Synthetic Institution 023,EXT-00000198,33.73
CP_000199,beneficiary,Synthetic Counterparty 000199,US,Synthetic Institution 024,EXT-00000199,15.86
CP_000200,beneficiary,Synthetic Counterparty 000200,US,Synthetic Institution 025,EXT-00000200,0.0
CP_000201,merchant,Synthetic Counterparty 000201,DE,Synthetic Institution 001,EXT-00000201,31.77
CP_000202,exchange,Synthetic Counterparty 000202,VG,Synthetic Institution 002,EXT-00000202,54.37
CP_000203,merchant,Synthetic Counterparty 000203,VG,Synthetic Institution 003,EXT-00000203,82.18
CP_000204,bank,Synthetic Counterparty 000204,DE,Synthetic Institution 004,EXT-00000204,21.79
CP_000205,merchant,Synthetic Counterparty 000205,AE,Synthetic Institution 005,EXT-00000205,36.68
CP_000206,bank,Synthetic Counterparty 000206,BR,Synthetic Institution 006,EXT-00000206,15.06
CP_000207,merchant,Synthetic Counterparty 000207,DE,Synthetic Institution 007,EXT-00000207,18.18
CP_000208,beneficiary,Synthetic Counterparty 000208,ZA,Synthetic Institution 008,EXT-00000208,66.29
CP_000209,beneficiary,Synthetic Counterparty 000209,PA,Synthetic Institution 009,EXT-00000209,72.26
CP_000210,merchant,Synthetic Counterparty 000210,CA,Synthetic Institution 010,EXT-00000210,88.95
CP_000211,merchant,Synthetic Counterparty 000211,SG,Synthetic Institution 011,EXT-00000211,6.49
CP_000212,beneficiary,Synthetic Counterparty 000212,SG,Synthetic Institution 012,EXT-00000212,40.93
CP_000213,beneficiary,Synthetic Counterparty 000213,AU,Synthetic Institution 013,EXT-00000213,44.53
CP_000214,exchange,Synthetic Counterparty 000214,DE,Synthetic Institution 014,EXT-00000214,31.92
CP_000215,bank,Synthetic Counterparty 000215,US,Synthetic Institution 015,EXT-00000215,44.95
CP_000216,bank,Synthetic Counterparty 000216,VG,Synthetic Institution 016,EXT-00000216,66.2
CP_000217,wallet,Synthetic Counterparty 000217,CA,Synthetic Institution 017,EXT-00000217,34.42
CP_000218,bank,Synthetic Counterparty 000218,VG,Synthetic Institution 018,EXT-00000218,51.12
CP_000219,wallet,Synthetic Counterparty 000219,AU,Synthetic Institution 019,EXT-00000219,11.41
CP_000220,beneficiary,Synthetic Counterparty 000220,CA,Synthetic Institution 020,EXT-00000220,7.04
CP_000221,beneficiary,Synthetic Counterparty 000221,US,Synthetic Institution 021,EXT-00000221,24.3
CP_000222,wallet,Synthetic Counterparty 000222,DE,Synthetic Institution 022,EXT-00000222,39.5
CP_000223,merchant,Synthetic Counterparty 000223,PA,Synthetic Institution 023,EXT-00000223,55.72
CP_000224,merchant,Synthetic Counterparty 000224,CA,Synthetic Institution 024,EXT-00000224,5.93
CP_000225,beneficiary,Synthetic Counterparty 000225,ZA,Synthetic Institution 025,EXT-00000225,25.21
CP_000226,wallet,Synthetic Counterparty 000226,DE,Synthetic Institution 001,EXT-00000226,45.03
CP_000227,beneficiary,Synthetic Counterparty 000227,DE,Synthetic Institution 002,EXT-00000227,53.51
CP_000228,bank,Synthetic Counterparty 000228,CA,Synthetic Institution 003,EXT-00000228,50.09
CP_000229,beneficiary,Synthetic Counterparty 000229,SG,Synthetic Institution 004,EXT-00000229,12.62
CP_000230,beneficiary,Synthetic Counterparty 000230,GB,Synthetic Institution 005,EXT-00000230,7.27
CP_000231,merchant,Synthetic Counterparty 000231,US,Synthetic Institution 006,EXT-00000231,38.89
CP_000232,merchant,Synthetic Counterparty 000232,DE,Synthetic Institution 007,EXT-00000232,26.25
CP_000233,beneficiary,Synthetic Counterparty 000233,AU,Synthetic Institution 008,EXT-00000233,16.24
CP_000234,merchant,Synthetic Counterparty 000234,GB,Synthetic Institution 009,EXT-00000234,19.67
CP_000235,bank,Synthetic Counterparty 000235,BR,Synthetic Institution 010,EXT-00000235,35.44
CP_000236,beneficiary,Synthetic Counterparty 000236,HK,Synthetic Institution 011,EXT-00000236,23.16
CP_000237,bank,Synthetic Counterparty 000237,SG,Synthetic Institution 012,EXT-00000237,19.54
CP_000238,beneficiary,Synthetic Counterparty 000238,AE,Synthetic Institution 013,EXT-00000238,46.18
CP_000239,beneficiary,Synthetic Counterparty 000239,HK,Synthetic Institution 014,EXT-00000239,44.02
CP_000240,merchant,Synthetic Counterparty 000240,SG,Synthetic Institution 015,EXT-00000240,17.54
CP_000241,wallet,Synthetic Counterparty 000241,AU,Synthetic Institution 016,EXT-00000241,15.76
CP_000242,merchant,Synthetic Counterparty 000242,AE,Synthetic Institution 017,EXT-00000242,69.61
CP_000243,beneficiary,Synthetic Counterparty 000243,CA,Synthetic Institution 018,EXT-00000243,26.88
CP_000244,merchant,Synthetic Counterparty 000244,SG,Synthetic Institution 019,EXT-00000244,37.91
CP_000245,beneficiary,Synthetic Counterparty 000245,US,Synthetic Institution 020,EXT-00000245,16.64
CP_000246,merchant,Synthetic Counterparty 000246,HK,Synthetic Institution 021,EXT-00000246,53.88
CP_000247,exchange,Synthetic Counterparty 000247,ZA,Synthetic Institution 022,EXT-00000247,28.8
CP_000248,merchant,Synthetic Counterparty 000248,SG,Synthetic Institution 023,EXT-00000248,29.72
CP_000249,wallet,Synthetic Counterparty 000249,HK,Synthetic Institution 024,EXT-00000249,52.76
CP_000250,merchant,Synthetic Counterparty 000250,SG,Synthetic Institution 025,EXT-00000250,40.54
CP_000251,merchant,Synthetic Counterparty 000251,HK,Synthetic Institution 001,EXT-00000251,48.78
CP_000252,merchant,Synthetic Counterparty 000252,VG,Synthetic Institution 002,EXT-00000252,100.0
CP_000253,bank,Synthetic Counterparty 000253,HK,Synthetic Institution 003,EXT-00000253,21.84
CP_000254,merchant,Synthetic Counterparty 000254,CA,Synthetic Institution 004,EXT-00000254,9.9
CP_000255,merchant,Synthetic Counterparty 000255,ZA,Synthetic Institution 005,EXT-00000255,21.0
CP_000256,beneficiary,Synthetic Counterparty 000256,GB,Synthetic Institution 006,EXT-00000256,18.88
CP_000257,beneficiary,Synthetic Counterparty 000257,BR,Synthetic Institution 007,EXT-00000257,29.7
CP_000258,bank,Synthetic Counterparty 000258,US,Synthetic Institution 008,EXT-00000258,42.31
CP_000259,beneficiary,Synthetic Counterparty 000259,ZA,Synthetic Institution 009,EXT-00000259,36.98
CP_000260,beneficiary,Synthetic Counterparty 000260,SG,Synthetic Institution 010,EXT-00000260,0.0
CP_000261,beneficiary,Synthetic Counterparty 000261,VG,Synthetic Institution 011,EXT-00000261,70.94
CP_000262,merchant,Synthetic Counterparty 000262,US,Synthetic Institution 012,EXT-00000262,32.52
CP_000263,merchant,Synthetic Counterparty 000263,DE,Synthetic Institution 013,EXT-00000263,42.49
CP_000264,merchant,Synthetic Counterparty 000264,VG,Synthetic Institution 014,EXT-00000264,70.83
CP_000265,beneficiary,Synthetic Counterparty 000265,CA,Synthetic Institution 015,EXT-00000265,16.17
CP_000266,beneficiary,Synthetic Counterparty 000266,US,Synthetic Institution 016,EXT-00000266,16.77
CP_000267,merchant,Synthetic Counterparty 000267,US,Synthetic Institution 017,EXT-00000267,39.76
CP_000268,merchant,Synthetic Counterparty 000268,AU,Synthetic Institution 018,EXT-00000268,6.34
CP_000269,wallet,Synthetic Counterparty 000269,SG,Synthetic Institution 019,EXT-00000269,13.28
CP_000270,bank,Synthetic Counterparty 000270,ZA,Synthetic Institution 020,EXT-00000270,44.99
CP_000271,merchant,Synthetic Counterparty 000271,PA,Synthetic Institution 021,EXT-00000271,26.96
CP_000272,beneficiary,Synthetic Counterparty 000272,US,Synthetic Institution 022,EXT-00000272,3.26
CP_000273,merchant,Synthetic Counterparty 000273,SG,Synthetic Institution 023,EXT-00000273,61.59
CP_000274,merchant,Synthetic Counterparty 000274,BR,Synthetic Institution 024,EXT-00000274,39.27
CP_000275,merchant,Synthetic Counterparty 000275,ZA,Synthetic Institution 025,EXT-00000275,55.02
CP_000276,merchant,Synthetic Counterparty 000276,HK,Synthetic Institution 001,EXT-00000276,32.42
